Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List,Var106
sel.501.ch02.230221.155231.20.C.169.499.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter50-sel-Channel0-20230221_155839.wav,58:39.0,58:39.6,50,499b_notraceableparta,95703,null,null,null,null,null,null,Ambig,10560.97559,6261.817383,0.577,6261.817383,10560.97559,4299.158203,0.698287569,0.135424866,7191.272407,629.5020091,7102.957031,8411.396484,0.511111111,1.686567164,0.592920354,7289.876953,7102.957031,7102.957031,186.9199219,0.675124489,0.64400057,0.723929077,0.750954034,0.532721777,0,0,0,7571.987576,12793.05329,30547.56131,-18795.83659,-1.625230203,2,1,0,2,1,0,7,5,6,6,7,5,48.125,31.875,20,19,0.08,0.006,13.33333333,0.030333333,0.024289916,0.0235,32.92894281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.104,0.261333333,0.062666667,0,0.041333333,0.086666667,0.256,0.045333333,0.142666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.2353.ch02.230221.163127.29.C.837.2353.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter112-sel-Channel0-20241110_165511.wav,55:11.7,55:12.5,112,2353b,95703,null,null,null,null,null,null,Ambig,13271.31445,6355.277344,0.77,6355.277344,13271.31445,6916.037109,0.672767917,0.117388277,7521.915477,757.9212484,7383.336914,9813.295898,0.704761905,2.088235294,0.478873239,7196.416992,7476.796875,7663.716797,560.7597656,0.584707231,0.699329414,0.704376973,0.705104181,0.869177637,1,0,1,8947.307768,17536.1051,35311.21716,-20613.11361,-1.71304626,2,1,0,2,1,0,16,16,10,5,9,6,51.875,33.75,14.375,43,0.123,0.005,24.6,0.016428571,0.018311855,0.011,55.84415584,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.088,0.090666667,0.134666667,0,0.041333333,0.062666667,0.162666667,0.12,0.3,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.3632.ch02.230221.145031.22.C.297.889.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3iii\Encounter107-sel-Channel0-20241110_121457.wav,14:57.2,14:57.8,107,889b,95703,null,null,null,null,null,null,Ambig,9626.375977,6542.197266,0.653,7570.256836,9626.375977,3084.178711,0.762390408,0.116120498,7134.110352,520.7298156,7009.49707,8084.286621,0.38150289,1.471428571,0.786407767,6916.037109,6916.037109,7102.957031,233.6499023,0.710287904,0.842610728,0.744745049,0.751568869,0.42991582,0,0,0,3126.275821,13446.26917,26603.2959,-25180.78376,-1.056491972,0,0,1,2,1,0,14,12,5,5,7,3,46.5408805,35.8490566,17.61006289,34,0.08,0.005,16,0.018818182,0.017116247,0.011,52.06738132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.122666667,0.332,0.065333333,0,0.036,0.093333333,0.188,0.056,0.106666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),moved
sel.2429.ch02.230221.163310.56.C.913.2429.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter126-sel-Channel0-20241110_170308.wav,03:08.3,03:08.8,126,2429b,95703,null,null,null,null,null,null,Ambig,13364.77441,6261.817383,0.551,6261.817383,13364.77441,7102.957031,0.734386595,0.117784098,7189.227764,822.0900207,7009.49707,9813.295898,0.723809524,2.134328358,0.468531469,6916.037109,7009.49707,7102.957031,186.9199219,0.667989015,0.704384871,0.800469593,0.768571455,0.495337793,1,0,1,13271.48729,23010.68063,43454.22436,-19291.0945,-2.2525536,2,1,0,2,1,0,14,13,5,2,5,2,53.125,33.33333333,13.54166667,31,0.059,0.005,11.8,0.0164,0.012319315,0.011,56.26134301,1.814882033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.058666667,0.08,0.149333333,0,0.06,0.025333333,0.112,0.116,0.398666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.297.ch02.230221.142839.28.C.99.295.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter37-sel-Channel0-20230221_142835.wav,28:35.0,28:35.7,37,295b,95703,null,null,null,null,null,null,Ambig,13551.69434,6355.277344,0.679,7102.957031,13551.69434,7196.416992,0.698362545,0.143150439,7113.179214,724.4348654,7009.49707,9953.48584,0.723004695,2.132352941,0.524137931,7009.49707,7009.49707,7009.49707,186.9199219,0.604701728,0.69387744,0.765305142,0.733593747,0.420569824,1,0,1,9615.828002,20889.19487,40355.60317,-19884.96656,-2.029452906,0,0,1,2,1,0,18,18,5,3,5,3,51.30434783,38.26086957,10.43478261,42,0.102,0.005,20.4,0.015780488,0.01546207,0.011,61.8556701,1.47275405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.057333333,0.093333333,0.136,0,0.052,0.04,0.173333333,0.128,0.32,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.2445.ch02.230221.173803.63.C.815.2443.U.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter128-sel-Channel0-20241110_170417.wav,04:17.4,04:17.9,128,2443b,95703,null,null,null,null,null,null,Ambig,10841.35547,6635.657227,0.476,6729.117188,10841.35547,4205.698242,0.728715703,0.139574717,7142.417904,676.7073455,6916.037109,8738.506348,0.481283422,1.633802817,0.620689655,6916.037109,6916.037109,7196.416992,280.3798828,0.652789831,0.823323721,0.721710483,0.716189587,0.373839844,0,0,0,9118.471844,17329.34696,35664.48293,-17399.23536,-2.049773004,0,0,1,2,1,0,9,8,4,5,4,5,49.47368421,37.89473684,12.63157895,21,0.064,0.005,12.8,0.02325,0.017326205,0.0185,44.11764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.074666667,0.153333333,0.134666667,0,0.058666667,0.122666667,0.190666667,0.088,0.177333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.660.ch02.230221.171504.97.C.220.657.F.wav,C:\Users\kepar\Desktop\replacement_traces\Encounter8-sel-Channel0-20230221_171557.wav,15:57.0,15:57.5,8,657b,95703,null,null,null,null,null,null,Ambig,9719.835938,6074.897461,0.47,7009.49707,9719.835938,3644.938477,0.716366465,0.100085055,6944.390131,522.1538554,6916.037109,7897.366699,0.461538462,1.6,0.721153846,6822.577148,6916.037109,6916.037109,280.3798828,0.657894516,0.741423579,0.740240198,0.728565386,0.289725879,1,0,1,5578.264985,19384.85012,29685.86661,-25312.07275,-1.172794773,0,0,1,2,1,0,9,10,2,0,1,1,61.42857143,31.42857143,7.142857143,20,0.079,0.005,15.8,0.023315789,0.021514989,0.012,42.55319149,2.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.104,0.257333333,0.124,0,0.028,0.053333333,0.156,0.041333333,0.236,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.987.ch02.230221.175014.63.C.329.985.U.wav,C:\Users\kepar\Desktop\ToTrace\trace_3ii\Encounter19-sel-Channel0-20230221_175305.wav,53:05.0,53:05.2,19,985a,95703,null,null,null,null,null,null,Ambig,8224.476563,6261.817383,0.202,6729.117188,8224.476563,1962.65918,0.642377231,0.148557024,6753.08128,392.8584286,6729.117188,7243.146973,0.270967742,1.313432836,0.818181818,6261.817383,6822.577148,6916.037109,467.2998047,0.490222983,0.596978593,0.740295362,0.753082515,0.102805957,0,0,0,7583.374023,15945.58105,31932.15332,-22697.41908,-1.406862745,0,0,1,2,1,0,4,3,3,2,4,1,52.08333333,31.25,16.66666667,8,0.085,0.005,17,0.024428571,0.027705939,0.011,39.6039604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.090666667,0.348,0.112,0,0.033333333,0.094666667,0.182666667,0.081333333,0.057333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),moved
sel.2517.ch02.230221.173832.62.C.839.2515.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter132-sel-Channel0-20241110_170723.wav,07:23.3,07:23.7,132,2515b_nf,95703,null,null,null,null,null,null,Ambig,12430.1748,6635.657227,0.347,6635.657227,12430.1748,5794.517578,0.498651749,0.298041274,7595.745916,1016.365525,7196.416992,9532.916016,0.607843137,1.873239437,0.533834586,7009.49707,7289.876953,7570.256836,537.3947754,0.509580829,0.484848366,0.28794646,0.712410984,0.42991582,1,0,1,17411.62496,24409.13998,50339.80965,-20674.47621,-2.434877147,2,1,0,2,1,0,3,2,4,2,4,2,50.60240964,28.91566265,20.48192771,9,0.091,0.01,9.1,0.033375,0.031400353,0.0215,25.93659942,2.88184438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.076,0.069333333,0.250666667,0,0.044,0.013333333,0.132,0.112,0.302666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.117.ch02.230221.145304.54.C.366.1096.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_3i\Encounter12-sel-Channel0-20230221_145436.wav,54:36.0,54:36.7,12,1096b,95703,null,null,null,null,null,null,Ambig,12243.25488,6261.817383,0.69,6448.737305,12243.25488,5981.4375,0.777429613,0.112367429,7194.260224,814.3881119,6916.037109,9252.536133,0.646464646,1.955223881,0.526717557,6822.577148,6729.117188,7196.416992,443.9348145,0.736617688,0.812311003,0.797630188,0.763344902,0.785063672,0,0,0,8307.552083,19609.68689,32154.67704,-19702.37014,-1.632020757,0,0,1,2,1,0,14,15,4,2,3,3,58,34,8,32,0.161,0.005,32.2,0.021580645,0.027910302,0.011,46.37681159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.06,0.130666667,0.138666667,0,0.048,0.045333333,0.208,0.109333333,0.26,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
